,Pair,Recent Gain %,Uptrend
0,ETHUSDT,13.291522819017116,True
1,ADAUSDT,17.532467532467532,True
2,ZECUSDT,11.021575253444247,True
3,RLCUSDT,10.145880664833191,True
4,SOLUSDT,19.500624219725353,True
5,ICXUSDT,13.36220228889577,True
6,FTMUSDT,12.215091834476647,True
7,TOMOUSDT,13.771251931993811,True
8,LRCUSDT,11.541774332472011,True
9,BELUSDT,15.565438373570517,True
10,UNFIUSDT,10.33033033033033,True
11,COTIUSDT,17.267904509283827,True
12,AUDIOUSDT,15.821917808219185,True
13,CTSIUSDT,20.758620689655185,True
14,ANTUSDT,11.383647798742128,True
15,ROSEUSDT,23.557528166609764,True
16,WOOUSDT,56.19237115403283,True
17,JASMYUSDT,35.10578543343943,True
18,GALUSDT,10.51166211388947,True
19,INJUSDT,52.350111028867516,True
20,STGUSDT,12.97023432552249,True
21,FXSUSDT,12.021322889469108,True
22,RNDRUSDT,31.354798079193902,True
